City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,-,-,418.65,203.13,316.03,189.55,-,414.90,264.50,289.58,-,-,119.43,182.11,232.41,211.51,193.98,264.71,118.87,337.37,235.57,130.25,187.75,406.74,295.33,172.60,135.14,-,186.10,167.72,230.40,263.14,-,217.04,184.89,250.68,348.74,-,232.60,-,145.23,168.48,177.42,-,-,346.79,266.34,283.08,294.58,194.89
Antwerp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Athens,418.65,-,-,240.24,-,228.42,-,225.89,113.07,-,196.27,-,161.97,534.50,533.77,98.87,-,308.55,-,74.03,334.66,-,286.70,594.34,104.57,475.26,188.37,-,144.99,290.02,516.70,131.43,-,150.35,-,-,225.18,-,-,148.65,98.57,337.93,66.34,63.95,-,355.89,-,295.58,-,310.61
Barcelona,203.13,-,240.24,-,61.12,194.22,-,159.11,142.58,130.30,-,-,94.89,123.93,-,262.90,222.56,89.38,256.27,-,89.07,-,127.72,461.87,67.71,70.96,37.82,-,136.57,95.92,56.04,114.69,-,237.46,285.67,335.33,52.73,-,66.11,-,81.49,181.77,-,107.26,-,146.84,171.14,81.86,-,108.17
Belgrade,316.03,-,-,61.12,-,126.62,-,-,240.79,75.61,-,-,112.69,-,-,155.57,228.05,-,-,-,219.75,83.23,108.66,-,-,-,144.90,-,421.48,72.28,75.54,126.64,69.78,287.65,-,-,131.78,-,-,-,102.35,167.20,-,76.72,-,144.60,-,176.32,106.22,203.91
Berlin,189.55,-,228.42,194.22,126.62,-,-,270.31,-,111.86,142.69,-,131.81,170.53,164.74,121.95,297.84,-,110.73,-,196.85,-,171.87,322.20,113.77,188.20,122.92,-,118.96,256.64,212.09,234.58,-,-,566.04,455.65,72.45,-,-,78.23,243.14,150.12,-,153.58,116.12,526.52,387.05,237.30,-,273.97
Bratislava,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65.50,-,-,-,-,-,-,-,-,-,-
Brussels,414.90,-,225.89,159.11,-,270.31,-,-,112.17,126.62,171.40,-,201.06,208.67,430.62,270.70,211.31,276.79,328.52,-,389.70,263.84,133.12,-,192.95,207.62,179.77,-,263.20,194.03,303.36,249.99,-,160.82,852.94,300.85,327.85,-,160.21,102.00,102.00,164.37,295.00,107.26,179.53,335.16,165.22,136.63,154.83,426.22
Bucharest,264.50,-,113.07,142.58,240.79,-,-,112.17,-,115.11,114.66,-,112.60,147.36,-,127.56,-,-,-,205.93,-,-,168.32,-,-,190.26,63.33,-,208.80,-,60.59,161.66,-,127.87,-,-,84.23,-,142.58,-,-,-,-,-,-,229.39,-,275.51,-,551.22
Budapest,289.58,-,-,130.30,75.61,111.86,-,126.62,115.11,-,49.78,-,69.28,252.87,-,153.53,296.55,169.25,-,439.34,165.85,-,104.93,508.82,-,175.40,80.43,-,186.10,92.16,311.29,172.23,-,-,-,467.87,104.93,-,-,104.93,-,150.72,-,-,-,188.73,-,94.85,-,398.42
Chisinau,-,-,196.27,-,-,142.69,-,171.40,114.66,49.78,-,-,-,142.30,-,-,-,165.07,-,-,-,-,169.37,-,-,-,146.85,-,-,-,-,198.05,-,133.01,-,-,125.18,-,-,-,-,-,-,-,-,532.61,-,73.20,-,-
Coimbra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Copenhagen,119.43,-,161.97,94.89,112.69,131.81,-,201.06,112.60,69.28,-,-,-,127.00,202.86,181.69,302.65,235.02,135.69,-,357.85,-,119.33,334.56,186.81,158.70,43.42,-,121.98,268.62,79.17,139.11,-,183.93,-,59.44,79.72,-,-,-,116.97,55.07,-,-,-,-,209.83,53.97,278.98,196.77
Dublin,182.11,-,534.50,123.93,-,170.53,-,208.67,147.36,252.87,142.30,-,127.00,-,197.53,141.83,-,94.95,179.77,-,254.61,-,156.81,367.44,396.68,233.03,185.04,-,246.97,419.79,197.55,152.43,-,301.74,163.00,-,199.42,-,307.98,-,-,248.19,-,-,-,-,-,-,-,299.37
Edinburgh,232.41,-,533.77,-,-,164.74,-,430.62,-,-,-,-,202.86,197.53,-,491.01,396.33,-,210.45,-,317.99,-,87.70,-,-,263.43,305.47,-,257.51,-,108.29,264.31,-,211.06,136.05,-,-,-,-,-,-,257.48,-,-,-,-,-,-,-,603.75
Frankfurt,211.51,-,98.87,262.90,155.57,121.95,-,270.70,127.56,153.53,-,-,181.69,141.83,491.01,-,491.01,143.36,120.73,1020.92,277.73,161.36,135.59,277.73,263.20,176.06,182.88,-,254.75,387.05,175.21,244.79,-,609.71,572.40,289.78,229.14,448.01,251.81,241.73,106.33,275.74,184.87,245.29,517.52,584.75,446.54,147.27,328.97,455.10
Geneva,193.98,-,-,222.56,228.05,297.84,-,211.31,-,296.55,-,-,302.65,-,396.33,491.01,-,316.31,223.38,-,431.86,-,91.46,307.84,-,772.84,-,-,779.16,198.48,-,176.69,-,215.06,-,-,304.47,-,383.89,-,-,-,-,-,-,861.35,-,577.01,-,557.68
Hamburg,264.71,-,308.55,89.38,-,-,-,276.79,-,169.25,165.07,-,235.02,94.95,-,143.36,316.31,-,161.07,-,210.93,-,112.61,182.20,-,139.65,110.72,-,140.07,110.73,115.63,763.87,-,-,-,183.78,110.72,-,-,-,-,159.66,-,261.76,110.72,491.90,197.63,202.82,-,159.66
Helsinki,118.87,-,-,256.27,-,110.73,-,328.52,-,-,-,-,135.69,179.77,210.45,120.73,223.38,161.07,-,-,790.32,-,66.25,-,-,199.54,37.41,-,78.85,227.34,99.43,158.02,-,483.16,202.90,54.63,189.63,-,-,-,-,37.52,93.72,-,-,507.08,122.25,127.92,-,245.37
Larnaca,337.37,-,74.03,-,-,-,-,-,205.93,439.34,-,-,-,-,-,1020.92,-,-,-,-,-,-,351.26,-,-,-,-,-,1017.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,248.98,607.45,-,279.27,-,1252.64
Lisbon,235.57,-,334.66,89.07,219.75,196.85,-,389.70,-,165.85,-,-,357.85,254.61,317.99,277.73,431.86,210.93,790.32,-,-,-,220.36,253.08,121.63,105.55,99.72,-,353.13,147.30,617.46,116.99,-,534.41,-,-,129.67,-,168.69,-,-,352.99,-,-,-,-,-,322.20,-,280.49
Ljubljana,130.25,-,-,-,83.23,-,-,263.84,-,-,-,-,-,-,-,161.36,-,-,-,-,-,-,383.92,266.55,-,-,-,-,266.16,-,-,305.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161.84,-,464.38
London,187.75,-,286.70,127.72,108.66,171.87,168.34,133.12,168.32,104.93,169.37,-,119.33,156.81,87.70,135.59,91.46,112.61,66.25,351.26,220.36,383.92,-,319.24,131.26,217.30,78.42,-,187.55,204.47,38.51,121.91,-,133.88,92.36,232.16,136.95,69.55,147.47,90.01,106.33,217.16,36.05,170.24,266.48,191.22,236.83,70.30,263.15,100.79
Luxembourg City,406.74,-,594.34,461.87,-,322.20,-,-,-,508.82,-,-,334.56,367.44,-,277.73,307.84,182.20,-,-,253.08,266.55,319.24,-,-,335.54,216.68,-,211.04,138.01,-,197.26,-,-,-,-,-,-,-,-,-,315.95,-,-,-,479.64,-,187.12,-,578.59
Lyon,295.33,-,104.57,67.71,-,113.77,-,192.95,-,-,-,-,186.81,396.68,-,263.20,-,-,-,-,121.63,-,131.26,-,-,182.27,-,-,320.47,-,-,175.47,-,103.89,-,-,62.57,-,158.22,-,-,-,-,132.31,105.28,406.37,-,214.67,-,-
Madrid,172.60,-,475.26,70.96,-,188.20,-,207.62,190.26,175.40,-,-,158.70,233.03,263.43,176.06,772.84,139.65,199.54,-,105.55,-,217.30,335.54,182.27,-,92.37,-,209.15,129.67,154.31,144.40,-,169.89,205.51,227.93,114.46,-,56.03,-,85.54,272.29,-,107.26,-,380.42,-,74.96,-,171.04
Milan,135.14,-,188.37,37.82,144.90,122.92,-,179.77,63.33,80.43,146.85,-,43.42,185.04,305.47,182.88,-,110.72,37.41,-,99.72,-,78.42,216.68,-,92.37,-,-,118.59,-,323.38,78.57,-,96.04,130.79,-,54.04,-,-,-,81.49,363.38,-,86.08,98.83,203.18,126.64,82.20,-,114.07
Minsk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Munich,186.10,-,144.99,136.57,421.48,118.96,-,263.20,208.80,186.10,-,-,121.98,246.97,257.51,254.75,779.16,140.07,78.85,1017.02,353.13,266.16,187.55,211.04,320.47,209.15,118.59,-,-,293.71,341.75,157.33,-,260.58,891.99,363.28,202.12,-,396.19,-,206.35,430.76,-,-,335.90,244.15,381.41,166.62,305.15,504.94
Nice,167.72,-,290.02,95.92,72.28,256.64,-,194.03,-,92.16,-,-,268.62,419.79,-,387.05,198.48,110.73,227.34,-,147.30,-,204.47,138.01,-,129.67,-,-,293.71,-,-,127.51,-,219.78,-,-,52.73,-,-,-,-,324.26,116.74,-,-,92.36,-,364.59,-,394.74
Oslo,230.40,-,516.70,56.04,75.54,212.09,-,303.36,60.59,311.29,-,-,79.17,197.55,108.29,175.21,-,115.63,99.43,-,617.46,-,38.51,-,-,154.31,323.38,-,341.75,-,-,263.35,-,265.79,277.06,190.52,448.13,-,-,201.91,-,58.33,67.44,-,-,273.74,230.89,49.83,-,142.97
Paris,263.14,-,131.43,114.69,126.64,234.58,-,249.99,161.66,172.23,198.05,-,139.11,152.43,264.31,244.79,176.69,763.87,158.02,-,116.99,305.74,121.91,197.26,175.47,144.40,78.57,-,157.33,127.51,263.35,-,-,157.19,566.73,837.52,153.33,-,132.61,-,184.52,212.46,207.88,255.86,113.05,180.24,536.15,171.02,486.51,167.87
Podgorica,-,-,-,-,69.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507.59,-,-,-,176.21
Prague,217.04,-,150.35,237.46,287.65,-,-,160.82,127.87,-,133.01,-,183.93,301.74,211.06,609.71,215.06,-,483.16,-,534.41,-,133.88,-,103.89,169.89,96.04,-,260.58,219.78,265.79,157.19,-,-,285.86,410.93,96.16,-,-,-,125.44,176.14,-,86.08,-,196.76,-,319.65,-,584.86
Reykjavik,184.89,-,-,285.67,-,566.04,-,852.94,-,-,-,-,-,163.00,136.05,572.40,-,-,202.90,-,-,-,92.36,-,-,205.51,130.79,-,891.99,-,277.06,566.73,-,285.86,-,359.44,372.95,-,-,-,-,271.12,-,-,-,-,-,474.42,-,319.77
Riga,250.68,-,-,335.33,-,455.65,-,300.85,-,467.87,-,-,59.44,-,-,289.78,-,183.78,54.63,-,-,-,232.16,-,-,227.93,-,-,363.28,-,190.52,837.52,-,410.93,359.44,-,477.94,-,-,-,-,31.62,85.22,-,189.72,426.94,40.24,324.71,-,228.93
Rome,348.74,-,225.18,52.73,131.78,72.45,-,327.85,84.23,104.93,125.18,-,79.72,199.42,-,229.14,304.47,110.72,189.63,-,129.67,-,136.95,-,62.57,114.46,54.04,-,202.12,52.73,448.13,153.33,-,96.16,372.95,477.94,-,-,136.95,-,37.90,170.97,-,53.90,95.19,201.23,497.96,102.03,423.55,373.90
Sarajevo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,448.01,-,-,-,-,-,-,69.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,380.03,-,-,119.95,-
Seville,232.60,-,-,66.11,-,-,-,160.21,142.58,-,-,-,-,307.98,-,251.81,383.89,-,-,-,168.69,-,147.47,-,158.22,56.03,-,-,396.19,-,-,132.61,-,-,-,-,136.95,-,-,-,-,-,-,-,-,-,-,-,-,391.00
Skopje,-,-,148.65,-,-,78.23,65.50,102.00,-,104.93,-,-,-,-,-,241.73,-,-,-,-,-,-,90.01,-,-,-,-,-,-,-,201.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,214.45,-,-,187.49,176.17
Sofia,145.23,-,98.57,81.49,102.35,243.14,-,102.00,-,-,-,-,116.97,-,-,106.33,-,-,-,-,-,-,106.33,-,-,85.54,81.49,-,206.35,-,-,184.52,-,125.44,-,-,37.90,-,-,-,-,-,-,-,-,121.66,-,247.63,-,154.97
Stockholm,168.48,-,337.93,181.77,167.20,150.12,-,164.37,-,150.72,-,-,55.07,248.19,257.48,275.74,-,159.66,37.52,-,352.99,-,217.16,315.95,-,272.29,363.38,-,430.76,324.26,58.33,212.46,-,176.14,271.12,31.62,170.97,-,-,-,-,-,143.68,-,-,321.76,201.57,38.09,-,519.43
Tallinn,177.42,-,66.34,-,-,-,-,295.00,-,-,-,-,-,-,-,184.87,-,-,93.72,-,-,-,36.05,-,-,-,-,-,-,116.74,67.44,207.88,-,-,-,85.22,-,-,-,-,-,143.68,-,-,-,-,-,195.95,-,282.83
Tirana,-,-,63.95,107.26,76.72,153.58,-,107.26,-,-,-,-,-,-,-,245.29,-,261.76,-,-,-,-,170.24,-,132.31,107.26,86.08,-,-,-,-,255.86,-,86.08,-,-,53.90,-,-,-,-,-,-,-,-,60.91,-,323.43,-,492.91
Valletta,-,-,-,-,-,116.12,-,179.53,-,-,-,-,-,-,-,517.52,-,110.72,-,248.98,-,-,266.48,-,105.28,-,98.83,-,335.90,-,-,113.05,-,-,-,189.72,95.19,-,-,-,-,-,-,-,-,-,-,161.19,-,252.18
