City,Tirana,Vienna,Minsk,Antwerp,Brussels,Sarajevo,Sofia,Zagreb,Larnaca,Prague,Copenhagen,Tallinn,Helsinki,Nice,Paris,Lyon,Munich,Berlin,Hamburg,Frankfurt,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Riga,Vilnius,Luxembourg City,Valletta,Chisinau,Podgorica,Amsterdam,Skopje,Oslo,Warsaw,Coimbra,Lisbon,Bucharest,Belgrade,Bratislava,Ljubljana,Barcelona,Madrid,Seville,Stockholm,Zurich,Geneva,Edinburgh,London
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vienna,-,-,-,300.00,179.00,-,-,51,-,15,342,-,-,-,244,-,60,-,168,132,-,16,-,-,78,100,-,-,226,-,-,-,189,-,-,62,-,-,-,-,19,32,-,-,-,-,80,147,-,-
Minsk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antwerp,-,300.00,-,-,-,-,-,-,-,167,247,-,-,-,-,-,228,92,83,123,-,351,-,-,-,-,-,-,-,-,-,-,-,-,-,188,-,-,-,-,267,209,-,-,-,-,178,-,-,-
Brussels,-,179.00,-,-,-,-,-,-,-,137,147,-,-,233,72,-,129,91,65,98,-,168,-,-,-,301,-,-,-,-,-,-,-,-,-,84,-,-,-,-,158,168,311,378,-,-,168,-,292,189
Sarajevo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zagreb,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,-,-,-,-,-,-,-,-,27,-,-,-,-,147,168,-,-
Larnaca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prague,-,15,-,167,137,-,-,-,-,-,147,-,-,-,254,-,49,36,60,84,-,42,-,-,-,-,-,-,105,-,-,-,100,-,-,84,-,-,-,-,16,78,-,-,-,-,137,105,-,-
Copenhagen,-,342,-,247,147,-,-,-,-,147,-,-,-,-,-,-,71,68,46,71,-,158,-,-,-,-,-,-,80,-,-,-,116,-,-,116,-,-,-,-,-,158,-,-,-,68,80,81,-,-
Tallinn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Helsinki,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nice,-,-,-,-,233,-,-,-,-,-,-,-,-,-,119,96,-,-,-,-,-,-,-,-,34,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184,286,-,-,374,194,-,449
Paris,-,244,-,-,72,-,-,-,-,254,-,-,-,119,-,45,139,211,211,122,-,353,-,-,193,355,-,-,100,-,-,-,149,-,-,341,-,-,-,-,-,-,159,211,-,-,130,138,342,218
Lyon,-,-,-,-,-,-,-,-,-,-,-,-,-,96,45,-,144,149,191,145,-,-,-,-,125,-,-,-,126,-,-,-,260,-,-,325,-,-,-,-,-,-,110,201,-,-,314,34,-,324
Munich,-,60,-,228,129,-,-,37,-,49,71,-,-,-,139,144,-,100,100,80,-,60,-,-,103,127,-,-,105,-,-,-,110,-,-,138,-,-,-,-,120,102,-,-,-,-,41,88,-,-
Berlin,-,-,-,92,91,-,-,-,-,36,68,-,-,-,211,149,100,-,15,37,-,80,-,-,94,188,-,-,68,-,-,-,84,-,-,45,-,-,-,-,70,80,-,-,-,175,90,90,-,326
Hamburg,-,168,-,83,65,-,-,-,-,60,46,-,-,-,211,191,100,15,-,45,-,100,-,-,146,208,-,-,97,-,-,-,90,-,-,90,-,-,-,-,100,120,-,-,-,119,90,90,-,-
Frankfurt,-,132,-,123,98,-,-,-,-,84,71,-,-,-,122,145,80,37,45,-,-,100,-,-,119,-,-,-,32,-,-,-,77,-,-,90,-,-,-,-,100,120,-,-,-,199,48,70,-,-
Athens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Budapest,-,16,-,351,168,-,-,-,-,42,158,-,-,-,353,-,60,80,100,100,-,-,-,-,166,190,-,-,84,-,-,-,189,-,-,-,-,-,-,-,39,-,-,-,-,-,122,-,-,-
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dublin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Milan,-,78,-,-,-,-,-,-,-,-,-,-,-,34,193,125,103,94,146,119,-,166,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,91,-,-
Rome,-,100,-,-,301,-,-,-,-,-,-,-,-,78,355,-,127,188,208,-,-,190,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,183,-,-
Riga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vilnius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Luxembourg City,-,226,-,-,-,-,-,-,-,105,80,-,-,-,100,126,105,68,97,32,-,84,-,-,-,-,-,-,-,-,-,-,-,-,-,74,-,-,-,-,-,-,-,-,-,-,126,-,-,-
Valletta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chisinau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Podgorica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amsterdam,-,189,-,-,-,-,-,168,-,100,116,-,-,-,149,260,110,84,90,77,-,189,-,-,-,-,-,-,-,-,-,-,-,-,-,95,-,-,-,-,158,95,-,-,-,-,60,-,-,269
Skopje,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oslo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-
Warsaw,-,62,-,188,84,-,-,-,-,84,116,-,-,-,341,325,138,45,90,90,-,-,-,-,-,-,-,-,74,-,-,-,95,-,-,-,-,-,-,-,-,-,-,-,-,-,105,179,-,-
Coimbra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,64,-,-,-,-,-
Lisbon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,99,39,44,-,-,-,-,-
Bucharest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Belgrade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bratislava,-,19,-,267,158,-,-,-,-,16,-,-,-,-,-,-,120,70,100,100,-,39,-,-,-,-,-,-,-,-,-,-,158,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,-
Ljubljana,-,32,-,209,168,-,-,27,-,78,158,-,-,-,-,-,102,80,120,120,-,-,-,-,-,-,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-,-,-,-,137,158,-,-
Barcelona,-,-,-,-,311,-,-,-,-,-,-,-,-,184,159,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99,-,-,-,-,-,39,55,-,484,199,-,-
Madrid,-,-,-,-,378,-,-,-,-,-,-,-,-,286,211,201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,39,-,33,-,-,-,-,-
Seville,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,44,-,-,-,-,55,33,-,-,-,-,-,-
Stockholm,-,-,-,-,-,-,-,-,-,-,68,-,-,-,-,-,-,175,119,199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zurich,-,80,-,178,168,-,-,147,-,137,80,-,-,374,130,314,41,90,90,48,-,122,-,-,53,120,-,-,126,-,-,-,60,-,-,105,-,-,-,-,-,137,484,-,-,-,-,66,-,-
Geneva,-,147,-,-,-,-,-,168,-,105,81,-,-,194,138,34,88,90,90,70,-,-,-,-,91,183,-,-,-,-,-,-,-,-,-,179,-,-,-,-,-,158,199,-,-,-,66,-,-,-
Edinburgh,-,-,-,-,292,-,-,-,-,-,-,-,-,-,342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158
London,-,-,-,-,189,-,-,-,-,-,-,-,-,449,218,324,-,326,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158,-
