City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,-,-,-,-,-,84,158,-,-,189,-,-,116,-,-,77,-,90,-,-,-,95,269,-,260,-,-,-,110,-,-,149,-,100,-,-,-,-,-,-,-,-,-,-,-,189,-,95,168,60
Antwerp,-,-,-,-,-,92,267,-,-,351,-,-,247,-,-,123,-,83,-,-,-,209,-,-,-,-,-,-,228,-,-,-,-,167,-,-,-,-,-,-,-,-,-,-,-,300.00,-,188,-,178
Athens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barcelona,-,-,-,-,-,-,-,311,-,-,-,-,-,-,-,-,199,-,-,-,99,-,-,-,110,39,-,-,-,184,-,159,-,-,-,-,-,-,55,-,-,-,-,-,-,-,-,-,-,484
Belgrade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berlin,84,92,-,-,-,-,70,91,-,80,-,-,68,-,-,37,90,15,-,-,-,80,326,68,149,-,94,-,100,-,-,211,-,36,-,-,188,-,-,-,-,175,-,-,-,-,-,45,-,90
Bratislava,158,267,-,-,-,70,62,158,-,39,-,-,-,-,-,100,-,100,-,-,-,-,-,-,-,-,-,-,120,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-
Brussels,-,-,-,311,-,91,158,-,-,168,-,-,147,-,292,98,-,65,-,-,-,168,189,-,-,378,-,-,129,233,-,72,-,137,-,-,301,-,-,-,-,-,-,-,-,179.00,-,84,-,168
Bucharest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Budapest,189,351,-,-,-,80,39,168,-,-,-,-,158,-,-,100,-,100,-,-,-,-,-,84,-,-,166,-,60,-,-,353,-,42,-,-,190,-,-,-,-,-,-,-,-,16,-,-,-,122
Chisinau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coimbra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,-,-,-,-,-,-,-,-,-,-
