City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,-,1h55,-,21h50,29h15,8h10,19h30,2h40,39h40,20h55,63h55,29h00,12h15,-,24h15,5h50,15h30,6h05,36h45,-,29h20,18h06,11h40,5h55,13h25,23h35,15h55,-,11h10,20h45,22h45,6h20,-,12h35,-,29h45,25h35,-,40h30,-,35h15,23h20,33h55,-,-,16h35,27h35,17h45,22h10,12h20
Antwerp,1h55,-,-,20h00,32h10,9h50,20h05,0h40,44h16,23h40,48h55,32h55,13h30,-,21h05,7h35,13h55,7h30,39h55,-,29h10,19h56,8h50,3h30,-,22h55,13h40,-,12h55,19h20,24h45,4h15,-,14h50,-,31h20,23h20,-,38h05,-,-,24h10,36h05,-,-,18h20,26h25,18h00,21h35,10h10
Athens,-,-,-,-,-,-,-,-,21h15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32h00,-,-,-,-,-,-,11h30,-,-,-,-,-,-,-,-,-
Barcelona,21h50,20h00,-,-,33h20,26h10,30h30,18h10,-,31h40,73h10,17h00,35h30,-,-,21h00,10h30,27h49,60h35,-,16h05,22h30,-,16h25,7h35,7h20,13h15,-,21h40,8h20,44h50,13h10,-,25h00,-,49h50,20h10,-,18h45,-,52h50,44h45,54h30,-,-,29h15,45h35,36h35,24h55,23h50
Belgrade,29h15,32h10,-,33h20,-,19h10,13h20,27h55,-,6h00,-,-,26h00,-,-,20h15,25h00,24h30,44h00,-,51h55,7h32,-,27h05,25h55,46h55,17h00,-,14h00,24h55,38h31,24h35,8h55,14h31,-,33h10,22h10,6h30,-,6h21,21h40,48h35,37h45,-,-,8h40,29h25,19h35,5h30,-
Berlin,8h10,9h50,-,26h10,19h10,-,8h55,10h35,29h05,10h35,35h30,45h50,8h05,-,31h26,7h18,17h10,3h05,25h55,-,42h05,14h13,19h11,11h15,18h10,34h50,15h50,-,7h20,21h35,18h15,12h35,-,3h55,-,17h50,19h55,-,52h15,-,31h50,18h45,22h35,-,-,-,15h20,6h45,14h35,12h05
Bratislava,19h30,20h05,-,30h30,13h20,8h55,-,17h02,20h50,2h10,21h30,50h15,19h05,-,-,12h51,16h25,13h40,31h15,-,45h30,6h05,-,14h02,19h10,38h15,15h00,-,6h25,20h26,30h11,18h32,-,4h10,-,20h50,19h45,-,-,-,17h20,30h00,26h50,-,-,1h15,19h40,8h50,6h20,16h50
Brussels,2h40,0h40,-,18h10,27h55,10h35,17h02,-,45h00,21h45,51h20,25h30,14h15,-,23h15,6h15,11h25,8h15,41h30,-,27h55,18h46,7h30,2h35,-,20h15,12h25,-,11h55,17h20,25h30,3h40,-,11h55,-,32h55,22h15,-,36h45,-,-,24h55,37h40,-,-,18h00,28h50,20h15,20h35,9h10
Bucharest,39h40,44h16,21h15,-,-,29h05,20h50,45h00,-,15h00,7h50,-,40h25,-,-,33h00,41h20,37h05,50h55,-,72h15,27h05,-,46h50,44h35,64h40,44h30,-,28h30,40h45,48h26,39h45,-,24h26,-,44h10,44h00,-,-,-,7h00,-,49h00,-,-,18h00,39h20,28h35,22h45,38h05
Budapest,20h55,23h40,-,31h40,6h00,10h35,2h10,21h45,15h00,-,15h30,50h05,21h50,-,43h40,14h30,18h50,15h55,33h55,-,46h20,6h00,32h25,19h20,21h31,39h25,10h00,-,8h10,21h05,31h00,20h45,-,5h56,-,23h15,19h00,-,56h30,-,14h31,32h00,28h05,-,-,2h50,19h45,11h15,4h05,18h50
Chisinau,63h55,48h55,-,73h10,-,35h30,21h30,51h20,7h50,15h30,-,-,48h40,-,-,34h00,69h05,40h00,51h00,-,-,51h15,-,52h55,61h15,-,32h00,-,29h00,56h25,65h30,37h00,-,26h20,-,41h00,56h45,-,-,-,-,-,48h00,-,-,23h30,38h35,29h30,43h50,65h45
Coimbra,29h00,32h55,-,17h00,-,45h50,50h15,25h30,-,50h05,-,-,49h45,-,-,30h00,29h45,41h55,68h50,-,1h15,49h40,-,30h00,23h00,6h15,35h40,-,40h40,27h20,59h05,21h00,-,51h55,-,64h25,39h25,-,10h05,-,65h30,60h55,66h00,-,-,52h35,64h25,58h05,65h30,49h35
Copenhagen,12h15,13h30,-,35h30,26h00,8h05,19h05,14h15,40h25,21h50,48h40,49h45,-,-,39h15,14h43,28h30,5h10,37h35,-,46h00,25h00,27h00,20h20,-,37h55,25h55,-,16h50,34h10,7h52,19h00,-,13h45,-,29h00,32h55,-,56h10,-,40h20,9h30,33h45,-,-,18h55,26h20,17h05,25h35,21h00
Dublin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edinburgh,24h15,21h05,-,-,-,31h26,-,23h15,-,43h40,-,-,39h15,-,-,28h25,29h10,33h00,-,-,-,-,7h50,28h40,26h00,-,-,-,33h20,35h15,-,19h15,-,36h35,-,54h25,43h20,-,-,-,59h25,-,-,-,-,39h30,49h30,39h40,45h00,-
Frankfurt,5h50,7h35,-,21h00,20h15,7h18,12h51,6h15,33h00,14h30,34h00,30h00,14h43,-,28h25,-,8h55,6h25,34h50,-,32h20,11h06,16h00,2h15,10h00,26h45,10h30,33h25,5h00,16h10,28h05,7h40,-,6h25,-,26h13,19h10,-,42h30,-,25h00,27h30,31h29,-,-,10h05,24h40,12h52,25h00,8h00
Geneva,15h30,13h55,-,10h30,25h00,17h10,16h25,11h25,41h20,18h50,69h05,29h45,28h30,-,29h10,8h55,3h20,20h20,47h35,-,32h10,14h35,17h10,10h15,2h10,21h25,5h15,-,9h20,8h40,41h10,6h30,-,13h20,-,40h45,13h50,-,49h30,-,32h35,41h25,44h45,-,-,15h05,33h55,25h50,17h15,-
Hamburg,6h05,7h30,-,27h49,24h30,3h05,13h40,8h15,37h05,15h55,40h00,41h55,5h10,-,33h00,6h25,20h20,-,29h30,-,38h10,18h01,20h45,12h55,19h35,31h55,17h45,-,10h09,23h40,14h50,12h30,-,8h44,-,22h10,25h55,-,48h20,-,33h55,15h35,26h40,-,-,13h19,20h20,11h15,19h19,13h35
Helsinki,36h45,39h55,-,60h35,44h00,25h55,31h15,41h30,50h55,33h55,51h00,68h50,37h35,-,-,34h50,47h35,29h30,-,-,72h05,38h40,56h45,42h00,50h05,61h40,44h15,-,35h40,50h45,47h50,43h00,-,29h30,-,7h10,51h45,-,83h15,-,61h40,-,-,-,-,31h05,11h55,18h05,37h45,47h35
Larnaca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lisbon,29h20,29h10,-,16h05,51h55,42h05,45h30,27h55,72h15,46h20,-,1h15,46h00,-,-,32h20,32h10,38h10,72h05,-,-,42h25,-,31h00,25h15,7h00,31h55,-,36h20,25h45,55h20,22h05,-,43h35,-,65h35,41h05,-,6h00,-,68h45,56h50,69h15,-,-,43h45,61h05,51h50,46h35,45h35
Ljubljana,18h06,19h56,-,22h30,7h32,14h13,6h05,18h46,27h05,6h00,51h15,49h40,25h00,-,-,11h06,14h35,18h01,38h40,-,42h25,-,-,15h21,15h31,34h15,6h00,-,5h10,13h05,37h01,17h46,-,9h13,-,28h40,10h39,-,53h30,-,15h30,40h00,35h39,-,-,4h45,25h10,15h55,1h55,-
London,11h40,8h50,-,-,-,19h11,-,7h30,-,32h25,-,-,27h00,-,7h50,16h00,17h10,20h45,56h45,-,-,-,-,14h40,15h40,-,-,-,22h15,24h00,-,8h25,-,25h00,-,42h10,31h15,-,-,-,49h40,-,60h00,-,-,29h10,37h15,27h25,33h20,24h05
Luxembourg City,5h55,3h30,-,16h25,27h05,11h15,14h02,2h35,46h50,19h20,52h55,30h00,20h20,-,28h40,2h15,10h15,12h55,42h00,-,31h00,15h21,14h40,-,6h50,23h05,9h50,-,8h50,16h25,31h40,5h05,-,12h20,-,30h25,19h20,-,41h20,-,38h30,32h20,35h00,-,-,14h50,28h35,19h15,19h50,6h30
Lyon,13h25,-,-,7h35,25h55,18h10,19h10,-,44h35,21h31,61h15,23h00,-,-,26h00,10h00,2h10,19h35,50h05,-,25h15,15h31,15h40,6h50,-,16h40,6h05,-,12h00,6h40,37h40,5h20,-,-,-,38h00,14h00,6h45,37h40,-,-,37h15,42h45,-,-,-,35h35,26h10,-,12h20
Madrid,23h35,22h55,-,7h20,46h55,34h50,38h15,20h15,64h40,39h25,-,6h15,37h55,-,-,26h45,21h25,31h55,61h40,-,7h00,34h15,-,23h05,16h40,-,23h00,-,30h10,17h15,47h15,15h55,-,31h30,-,55h10,33h40,-,6h11,-,58h20,49h05,58h50,-,-,36h40,55h25,42h00,37h40,37h25
Milan,15h55,13h40,-,13h15,17h00,15h50,15h00,12h25,44h30,10h00,32h00,35h40,25h55,-,-,10h30,5h15,17h45,44h15,-,31h55,6h00,-,9h50,6h05,23h00,-,-,6h35,4h45,37h55,11h40,-,12h40,-,35h30,7h25,-,33h30,-,26h25,39h15,40h40,-,-,11h56,32h30,23h05,9h50,3h45
Minsk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33h25,-,-,-,-,-,-,-,-,-,-,-,-,36h40,-,-,-,-,23h40,-,10h25,-,-,-,-,-,-,15h50,-,-,-,4h55,10h55,-,-
