City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,-,-,3h40,2h15,2h15,1h30,-,0h55,2h45,2h15,-,-,1h30,1h40,1h30,1h15,1h30,1h05,2h40,4h40,3h10,1h45,1h05,1h10,1h50,2h40,1h55,-,1h40,2h10,1h45,1h20,-,1h40,3h10,2h25,2h35,-,2h55,-,3h00,2h00,2h35,-,-,1h55,2h30,1h55,2h10,1h25
Antwerp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Athens,3h40,-,-,3h10,-,2h45,-,3h00,1h40,-,2h00,-,3h10,4h30,4h20,2h50,-,3h00,-,1h45,4h35,-,4h05,3h05,2h45,3h55,2h35,-,2h30,2h25,4h00,3h15,-,2h30,-,-,2h10,-,-,1h30,1h15,3h45,2h40,1h25,-,2h05,-,2h35,-,2h50
Barcelona,2h15,-,3h10,-,2h45,2h40,-,2h00,3h25,2h45,-,-,2h50,2h25,-,2h05,1h40,2h40,4h00,-,1h55,-,2h20,2h15,1h20,1h25,1h40,-,2h15,1h15,3h30,1h40,-,2h35,4h20,3h40,1h50,-,1h40,-,3h05,3h40,-,2h45,-,2h30,3h40,3h10,-,1h55
Belgrade,2h15,-,-,2h45,-,1h50,-,-,1h10,0h55,-,-,2h10,-,-,1h55,2h10,-,-,-,3h50,1h25,3h15,-,-,-,1h40,-,1h25,1h50,2h45,2h20,0h45,1h55,-,-,1h30,-,-,-,1h10,2h40,-,1h10,-,1h20,-,1h45,1h05,1h50
Berlin,1h30,-,2h45,2h40,1h50,-,-,1h25,-,1h30,2h20,-,1h00,2h30,2h20,1h15,1h45,-,2h10,-,2h45,-,1h55,1h30,1h55,3h10,1h40,-,1h10,2h00,1h40,1h45,-,-,3h50,1h35,2h15,-,-,2h20,2h05,1h35,-,2h30,2h55,1h10,1h30,1h10,-,1h25
Bratislava,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2h35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h35,-,-,-,-,-,-,-,-,-,-
Brussels,0h55,-,3h00,2h00,-,1h25,-,-,2h50,2h00,2h50,-,1h30,1h40,1h40,1h00,1h20,1h10,2h35,-,2h50,1h35,1h05,-,1h25,2h30,1h25,-,1h15,1h45,1h55,1h00,-,1h25,3h30,2h20,2h05,-,2h50,2h40,2h40,2h10,2h30,3h00,2h55,1h45,2h20,2h00,2h05,1h10
Bucharest,2h45,-,1h40,3h25,1h10,-,-,2h50,-,1h20,0h50,-,2h35,3h30,-,2h20,-,-,-,2h30,-,-,3h30,-,-,4h20,2h15,-,1h55,-,3h10,2h55,-,1h50,-,-,2h00,-,4h30,-,-,-,-,-,-,1h35,-,1h50,-,2h35
Budapest,2h15,-,-,2h45,0h55,1h30,-,2h00,1h20,-,1h35,-,1h45,3h15,-,1h35,1h55,1h45,-,3h20,4h10,-,2h40,2h10,-,3h20,1h45,-,1h15,1h55,2h30,2h15,-,-,-,1h50,1h50,-,-,1h25,-,2h30,-,-,-,0h55,-,1h15,-,1h40
Chisinau,-,-,2h00,-,-,2h20,-,2h50,0h50,1h35,-,-,-,3h40,-,-,-,2h10,-,-,-,-,3h10,-,-,-,2h35,-,-,-,-,2h40,-,1h50,-,-,2h20,-,-,-,-,-,-,-,-,1h35,-,2h00,-,-
Coimbra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Copenhagen,1h30,-,3h10,2h50,2h10,1h00,-,1h30,2h35,1h45,-,-,-,2h25,2h00,1h30,2h05,1h00,1h40,-,4h00,-,2h05,1h50,2h15,3h10,2h00,-,1h35,2h25,1h15,2h00,-,1h20,-,1h20,2h35,-,-,-,3h00,1h10,-,-,-,-,1h30,1h25,1h55,1h45
Dublin,1h40,-,4h30,2h25,-,2h30,-,1h40,3h30,3h15,3h40,-,2h25,-,1h20,2h10,-,2h10,3h20,-,2h55,-,1h25,2h10,2h20,2h35,2h40,-,2h40,2h45,2h10,1h55,-,2h40,2h40,-,3h05,-,2h55,-,-,2h40,-,-,-,-,-,-,-,2h10
Edinburgh,1h30,-,4h20,-,-,2h20,-,1h40,-,-,-,-,2h00,1h20,-,1h05,2h20,-,2h55,-,3h15,-,1h25,-,-,2h55,2h35,-,2h25,-,2h00,1h45,-,2h25,2h25,-,-,-,-,-,-,2h15,-,-,-,-,-,-,-,2h15
Frankfurt,1h15,-,2h50,2h05,1h55,1h15,-,1h00,2h20,1h35,-,-,1h30,2h10,1h05,-,1h05,1h10,2h50,4h25,3h15,1h15,1h50,0h50,1h30,2h50,1h15,-,1h05,1h40,2h05,1h25,-,1h10,3h40,2h10,1h50,2h05,3h00,2h15,2h45,2h10,2h35,2h30,2h35,1h25,2h05,1h45,1h35,0h55
Geneva,1h30,-,-,1h40,2h10,1h45,-,1h20,-,1h55,-,-,2h05,-,2h20,1h05,-,1h45,3h10,-,2h35,-,1h35,1h05,-,2h00,-,-,1h10,1h00,-,1h00,-,1h35,-,-,1h35,-,2h20,-,-,-,-,-,-,1h35,-,2h20,-,0h50
