City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,-,-,-,-,-,6h44,12h36,-,-,17h37,-,-,11h33,-,2h30,3h36,-,5h38,-,-,-,16h55,6h16,-,6h19,-,-,-,7h38,-,36h00,3h31,-,11h55,-,-,-,-,-,-,-,-,-,-,-,12h31,-,12h19,20h39,12h20
Antwerp,-,-,-,-,-,8h23,13h04,-,-,14h39,-,-,14h37,-,-,3h45,-,7h30,-,-,-,19h24,-,-,-,-,-,-,7h26,-,-,-,-,11h42,-,-,-,-,-,-,-,-,-,-,-,12h23,-,14h13,-,8h22
Athens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barcelona,-,-,-,-,-,-,-,12h17,-,-,-,-,-,-,-,-,9h26,-,-,-,14h21,-,-,-,4h59,2h30,-,-,-,8h35,-,6h45,-,-,-,-,-,-,5h47,-,-,-,-,-,-,-,-,-,-,13h34
Belgrade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berlin,6h44,8h23,-,-,-,-,8h46,7h37,-,11h12,-,-,8h12,-,-,3h56,10h13,2h08,-,-,-,14h05,10h00,8h33,10h18,-,17h22,-,5h46,-,-,8h31,-,4h15,-,-,23h37,-,-,-,-,20h59,-,-,-,-,-,5h05,-,8h28
Bratislava,12h36,13h04,-,-,-,8h46,7h22,12h19,-,2h25,-,-,-,-,-,8h22,-,10h43,-,-,-,-,-,-,-,-,-,-,7h00,-,-,-,-,4h17,-,-,-,-,-,-,-,-,-,-,-,0h59,-,-,-,-
Brussels,-,-,-,12h17,-,7h37,12h19,-,-,13h54,-,-,13h40,-,8h03,3h00,-,6h20,-,-,-,16h38,1h58,-,-,15h23,-,-,6h41,8h42,-,1h58,-,10h57,-,-,21h47,-,-,-,-,-,-,-,-,10h58,-,14h32,-,7h37
Bucharest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Budapest,17h37,14h39,-,-,-,11h12,2h25,13h54,-,-,-,-,22h23,-,-,9h57,-,12h18,-,-,-,-,-,15h00,-,-,19h10,-,8h11,-,-,15h14,-,6h43,-,-,21h11,-,-,-,-,-,-,-,-,2h24,-,-,-,12h10
Chisinau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coimbra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9h29,-,-,-,-,-,-,-,-,-,-,-
Copenhagen,11h33,14h37,-,-,-,8h12,-,13h40,-,22h23,-,-,-,-,4h10,9h04,19h22,5h20,-,-,-,24h47,-,18h53,-,-,-,-,12h05,-,2h00,-,-,15h45,-,-,-,-,-,-,-,5h23,-,-,-,18h24,-,18h23,-,17h30
Dublin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edinburgh,2h40,-,-,-,-,-,-,8h03,-,-,-,-,4h10,-,-,-,-,-,-,-,-,-,4h37,-,-,-,-,-,-,-,4h30,7h55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Frankfurt,3h36,3h45,-,-,-,3h56,8h22,3h00,-,9h57,-,-,9h04,-,-,-,5h55,3h36,-,-,-,10h41,-,4h16,6h04,-,8h44,-,3h13,-,-,4h28,-,7h19,-,-,-,-,-,-,-,21h46,-,-,-,7h13,-,9h43,-,4h38
Geneva,-,-,-,9h26,-,10h13,-,-,-,-,-,-,19h22,-,-,5h55,-,10h23,-,-,-,17h51,-,-,1h56,-,4h16,-,7h44,7h56,-,3h11,-,13h32,-,-,8h06,-,-,-,-,-,-,-,-,11h50,-,21h17,32h28,2h45
Hamburg,5h38,7h30,-,-,-,2h08,10h43,6h20,-,12h18,-,-,5h20,-,-,3h36,10h23,-,-,-,-,13h37,-,8h06,10h26,-,12h27,-,5h34,-,-,8h31,-,7h42,-,-,20h30,-,-,-,-,12h19,-,-,-,9h27,-,8h05,-,8h34
Helsinki,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21h0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Larnaca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lisbon,-,-,-,14h21,-,-,-,-,-,-,-,1h39,-,-,-,-,-,-,-,-,-,-,-,-,-,8h48,-,-,-,5h20,-,4h50,-,-,-,-,-,-,7h23,-,-,-,-,-,-,-,-,-,-,-
Ljubljana,16h55,19h24,-,-,-,14h05,-,16h38,-,-,-,-,24h47,-,-,10h41,17h51,13h37,-,-,-,-,-,-,-,-,-,-,7h00,-,-,-,-,10h28,-,-,-,-,-,-,-,-,-,-,-,5h40,-,-,2h22,15h26
London,6h16,-,-,-,-,10h00,-,1h58,-,-,-,-,-,-,4h37,-,-,-,-,-,-,-,-,-,5h22,-,-,-,-,9h26,-,2h18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Luxembourg City,-,-,-,-,-,8h33,-,-,-,15h00,-,-,18h53,-,-,4h16,-,8h06,-,-,-,-,-,-,5h41,-,-,-,5h44,-,-,2h12,-,11h59,-,-,-,-,-,-,-,-,-,-,-,11h48,-,17h24,-,6h47
Lyon,6h19,-,-,4h59,-,10h18,-,-,-,-,-,-,-,-,-,6h04,1h56,10h26,-,-,-,-,5h22,5h41,-,8h05,7h05,-,7h52,4h35,-,1h52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20h15,-,7h58
Madrid,-,-,-,2h30,-,-,-,15h23,-,-,-,-,-,-,-,-,-,-,-,-,8h48,-,-,-,8h05,-,-,-,-,12h42,-,10h28,-,-,-,-,-,-,2h33,-,-,-,-,-,-,-,-,-,-,-
Milan,-,-,-,-,-,17h22,-,-,-,19h10,-,-,-,-,-,8h44,4h16,12h27,-,-,-,-,-,-,7h05,-,-,-,7h11,4h58,-,11h40,-,-,-,-,2h56,-,-,-,-,-,-,-,-,12h55,-,-,-,3h35
Minsk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Munich,7h38,7h26,-,-,-,5h46,7h00,6h41,-,8h11,-,-,12h05,-,-,3h13,7h44,5h34,-,-,-,7h00,-,5h44,7h52,-,7h11,-,-,-,-,5h21,-,5h55,-,-,9h37,-,-,-,-,-,-,-,-,5h00,-,11h39,9h42,4h35
Nice,-,-,-,8h35,-,-,-,8h42,-,-,-,-,-,-,-,-,7h56,-,-,-,5h20,-,9h26,-,4h35,12h42,4h58,-,-,-,-,5h40,-,-,-,-,8h24,-,-,-,-,-,-,-,-,-,-,-,-,10h58
Oslo,36h00,-,-,-,-,-,-,-,-,-,-,-,2h00,-,4h30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5h16,-,-,-,-,-,-,-,-
Paris,3h31,-,-,6h45,-,8h31,-,1h58,-,15h14,-,-,-,-,7h55,4h28,3h11,8h31,-,-,4h50,-,2h18,2h12,1h52,10h28,11h40,-,5h21,5h40,-,-,-,12h20,-,-,12h52,-,-,-,-,-,-,-,-,11h46,-,20h17,-,4h34
Podgorica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prague,11h55,11h42,-,-,-,4h15,4h17,10h57,-,6h43,-,-,15h45,-,-,7h19,13h32,7h42,-,-,-,10h28,-,11h59,-,-,-,-,5h55,-,-,12h20,-,-,-,-,-,-,-,-,-,-,-,-,-,3h58,-,9h02,-,10h56
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
