City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,120.0,173.0,-,308.0,-,84.0,158.0,155.0,-,189.0,-,413.0,116.0,-,427.0,77.0,126.0,90.0,-,-,399.0,95.0,269.0,109.0,260.0,360.0,113.0,-,110.0,212.0,236.0,149.0,-,100.0,-,-,180.0,-,359.0,-,-,184.0,-,-,-,189.0,-,95.0,168.0,60.0
Antwerp,173.0,166.0,-,326.0,-,92.0,267.0,148.0,-,351.0,-,439.0,247.0,-,440.0,123.0,173.0,83.0,-,-,425.0,209.0,337.0,155.0,216.0,411.0,186.0,-,228.0,220.0,254.0,245.0,-,167.0,-,-,228.0,-,381.0,-,-,202.0,-,-,-,300.0,-,188.0,236.0,178.0
Athens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barcelona,308.0,326.0,-,78.0,-,259.0,265.0,311.0,-,280.0,-,92.0,225.0,-,501.0,255.0,199.0,289.0,-,-,99.0,296.0,377.0,236.0,110.0,39.0,218.0,-,254.0,184.0,345.0,159.0,-,249.0,-,-,262.0,-,55.0,-,-,293.0,-,-,-,264.0,-,326.0,291.0,484.0
Belgrade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Berlin,84.0,92.0,-,259.0,-,30.0,70.0,91.0,-,80.0,-,372.0,68.0,-,372.0,37.0,90.0,15.0,-,-,358.0,80.0,326.0,68.0,149.0,328.0,94.0,-,100.0,128.0,227.0,211.0,-,36.0,-,-,188.0,-,314.0,-,-,175.0,-,-,-,51.0,-,45.0,102.0,90.0
Bratislava,158.0,267.0,-,265.0,-,70.0,62.0,158.0,-,39.0,-,378.0,138.0,-,433.0,100.0,121.0,100.0,-,-,364.0,51.0,330.0,121.0,155.0,353.0,97.0,-,120.0,131.0,247.0,222.0,-,16.0,-,-,119.0,-,320.0,-,-,195.0,-,-,-,19.0,-,81.0,70.0,99.0
Brussels,155.0,148.0,-,311.0,-,91.0,158.0,130.0,-,168.0,-,336.0,147.0,-,292.0,98.0,155.0,65.0,-,-,322.0,168.0,189.0,130.0,117.0,378.0,185.0,-,129.0,233.0,236.0,72.0,-,137.0,-,-,301.0,-,282.0,-,-,184.0,-,-,-,179.0,-,84.0,166.0,168.0
Bucharest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Budapest,189.0,351.0,-,280.0,-,80.0,39.0,168.0,-,32.0,-,393.0,158.0,-,448.0,100.0,147.0,100.0,-,-,379.0,48.0,345.0,84.0,170.0,368.0,166.0,-,60.0,128.0,251.0,353.0,-,42.0,-,-,190.0,-,335.0,-,-,199.0,-,-,-,16.0,-,78.0,67.0,122.0
Chisinau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coimbra,413.0,439.0,-,92.0,-,372.0,378.0,336.0,-,393.0,-,28.0,338.0,-,606.0,361.0,257.0,381.0,-,-,14.0,409.0,482.0,349.0,223.0,53.0,331.0,-,367.0,297.0,458.0,264.0,-,362.0,-,-,375.0,-,64.0,-,-,406.0,-,-,-,377.0,-,439.0,404.0,357.0
Copenhagen,116.0,247.0,-,225.0,-,68.0,138.0,147.0,-,158.0,-,338.0,92.0,-,403.0,71.0,81.0,46.0,-,-,324.0,158.0,300.0,80.0,115.0,313.0,133.0,-,71.0,196.0,120.0,160.0,-,147.0,-,-,198.0,-,280.0,-,-,68.0,-,-,-,342.0,-,116.0,108.0,80.0
