,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,-,2,-,22,29,8,20,3,40,21,64,29,12,-,24,6,16,6,37,-,29,18,12,6,13,24,16,-,11,21,23,6,-,13,-,30,26,-,41,-,35,23,34,-,-,17,28,18,22,12
Antwerp,2,-,-,20,32,10,20,1,44,24,49,33,14,-,21,8,14,8,40,-,29,20,9,4,-,23,14,-,13,19,25,4,-,15,-,31,23,-,38,-,-,24,36,-,-,18,26,18,22,10
Athens,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-
Barcelona,22,20,-,-,33,26,31,18,-,32,73,17,36,-,-,21,11,28,61,-,16,23,-,16,8,7,13,-,22,8,45,13,-,25,-,50,20,-,19,-,53,45,55,-,-,29,46,37,25,24
Belgrade,29,32,-,33,-,19,13,28,-,6,-,-,26,-,-,20,25,25,44,-,52,8,-,27,26,47,17,-,14,25,39,25,9,15,-,33,22,7,-,6,22,49,38,-,-,9,29,20,6,-
Berlin,8,10,-,26,19,-,9,11,29,11,36,46,8,-,31,7,17,3,26,-,42,14,19,11,18,35,16,-,7,22,18,13,-,4,-,18,20,-,52,-,32,19,23,-,-,-,15,7,15,12
Bratislava,20,20,-,31,13,9,-,17,21,2,22,50,19,-,-,13,16,14,31,-,46,6,-,14,19,38,15,-,6,20,30,19,-,4,-,21,20,-,-,-,17,30,27,-,-,1,20,9,6,17
Brussels,3,1,-,18,28,11,17,-,45,22,51,26,14,-,23,6,11,8,42,-,28,19,8,3,-,20,12,-,12,17,26,4,-,12,-,33,22,-,37,-,-,25,38,-,-,18,29,20,21,9
Bucharest,40,44,21,-,-,29,21,45,-,15,8,-,40,-,-,33,41,37,51,-,72,27,-,47,45,65,45,-,29,41,48,40,-,24,-,44,44,-,-,-,7,-,49,-,-,18,39,29,23,38
Budapest,21,24,-,32,6,11,2,22,15,-,16,50,22,-,44,15,19,16,34,-,46,6,32,19,22,39,10,-,8,21,31,21,-,6,-,23,19,-,57,-,15,32,28,-,-,3,20,11,4,19
Chisinau,64,49,-,73,-,36,22,51,8,16,-,-,49,-,-,34,69,40,51,-,-,51,-,53,61,-,32,-,29,56,66,37,-,26,-,41,57,-,-,-,-,-,48,-,-,24,39,30,44,66
Coimbra,29,33,-,17,-,46,50,26,-,50,-,-,50,-,-,30,30,42,69,-,1,50,-,30,23,6,36,-,41,27,59,21,-,52,-,64,39,-,10,-,66,61,66,-,-,53,64,58,66,50
Copenhagen,12,14,-,36,26,8,19,14,40,22,49,50,-,-,39,15,29,5,38,-,46,25,27,20,-,38,26,-,17,34,8,19,-,14,-,29,33,-,56,-,40,10,34,-,-,19,26,17,26,21
Dublin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edinburgh,24,21,-,-,-,31,-,23,-,44,-,-,39,-,-,28,29,33,-,-,-,-,8,29,26,-,-,-,33,35,-,19,-,37,-,54,43,-,-,-,59,-,-,-,-,40,50,40,45,-
Frankfurt,6,8,-,21,20,7,13,6,33,15,34,30,15,-,28,-,9,6,35,-,32,11,16,2,10,27,11,33,5,16,28,8,-,6,-,26,19,-,43,-,25,28,31,-,-,10,25,13,25,8
Geneva,16,14,-,11,25,17,16,11,41,19,69,30,29,-,29,9,3,20,48,-,32,15,17,10,2,21,5,-,9,9,41,7,-,13,-,41,14,-,50,-,33,41,45,-,-,15,34,26,17,-
Hamburg,6,8,-,28,25,3,14,8,37,16,40,42,5,-,33,6,20,-,30,-,38,18,21,13,20,32,18,-,10,24,15,13,-,9,-,22,26,-,48,-,34,16,27,-,-,13,20,11,19,14
Helsinki,37,40,-,61,44,26,31,42,51,34,51,69,38,-,-,35,48,30,-,-,72,39,57,42,50,62,44,-,36,51,48,43,-,30,-,7,52,-,83,-,62,-,-,-,-,31,12,18,38,48
Larnaca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lisbon,29,29,-,16,52,42,46,28,72,46,-,1,46,-,-,32,32,38,72,-,-,42,-,31,25,7,32,-,36,26,55,22,-,44,-,66,41,-,6,-,69,57,69,-,-,44,61,52,47,46
