City,Tirana,Vienna,Minsk,Antwerp,Brussels,Sarajevo,Sofia,Zagreb,Larnaca,Prague,Copenhagen,Tallinn,Helsinki,Nice,Paris,Lyon,Munich,Berlin,Hamburg,Frankfurt,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Riga,Vilnius,Luxembourg City,Valletta,Chisinau,Podgorica,Amsterdam,Skopje,Oslo,Warsaw,Coimbra,Lisbon,Bucharest,Belgrade,Bratislava,Ljubljana,Barcelona,Madrid,Seville,Stockholm,Zurich,Geneva,Edinburgh,London
Amsterdam,-,16h35,-,1h55,2h40,-,35h15,22h10,-,12h35,12h15,33h55,36h45,20h45,6h20,13h25,11h10,8h10,6h05,5h50,-,20h55,-,-,15h55,25h35,29h45,27h35,5h55,-,63h55,-,-,-,22h45,17h45,29h00,29h20,39h40,29h15,19h30,18h06,21h50,23h35,40h30,23h20,12h20,15h30,24h15,11h40
Antwerp,-,18h20,-,-,0h40,-,-,21h35,-,14h50,13h30,36h05,39h55,19h20,4h15,-,12h55,9h50,7h30,7h35,-,23h40,-,-,13h40,23h20,31h20,26h25,3h30,-,48h55,-,1h55,-,24h45,18h00,32h55,29h10,44h16,32h10,20h05,19h56,20h00,22h55,38h05,24h10,10h10,13h55,21h05,8h50
Athens,-,-,-,-,-,-,11h30,-,-,32h00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21h15,-,-,-,-,-,-,-,-,-,-,-
Barcelona,-,29h15,-,20h00,18h10,-,52h50,24h55,-,25h00,35h30,54h30,60h35,8h20,13h10,7h35,21h40,26h10,27h49,21h00,-,31h40,-,-,13h15,20h10,49h50,45h35,16h25,-,73h10,-,21h50,-,44h50,36h35,17h00,16h05,-,33h20,30h30,22h30,-,7h20,18h45,44h45,23h50,10h30,-,-
Belgrade,-,8h40,-,32h10,27h55,6h30,21h40,5h30,-,14h31,26h00,37h45,44h00,24h55,24h35,25h55,14h00,19h10,24h30,20h15,-,6h00,-,-,17h00,22h10,33h10,29h25,27h05,-,-,8h55,29h15,6h21,38h31,19h35,-,51h55,-,-,13h20,7h32,33h20,46h55,-,48h35,-,25h00,-,-
Berlin,-,-,-,9h50,10h35,-,31h50,14h35,-,3h55,8h05,22h35,25h55,21h35,12h35,18h10,7h20,-,3h05,7h18,-,10h35,-,-,15h50,19h55,17h50,15h20,11h15,-,35h30,-,8h10,-,18h15,6h45,45h50,42h05,29h05,19h10,8h55,14h13,26h10,34h50,52h15,18h45,12h05,17h10,31h26,19h11
Bratislava,-,1h15,-,20h05,17h02,-,17h20,6h20,-,4h10,19h05,26h50,31h15,20h26,18h32,19h10,6h25,8h55,13h40,12h51,-,2h10,-,-,15h00,19h45,20h50,19h40,14h02,-,21h30,-,19h30,-,30h11,8h50,50h15,45h30,20h50,13h20,-,6h05,30h30,38h15,-,30h00,16h50,16h25,-,-
Brussels,-,18h00,-,0h40,-,-,-,20h35,-,11h55,14h15,37h40,41h30,17h20,3h40,-,11h55,10h35,8h15,6h15,-,21h45,-,-,12h25,22h15,32h55,28h50,2h35,-,51h20,-,2h40,-,25h30,20h15,25h30,27h55,45h00,27h55,17h02,18h46,18h10,20h15,36h45,24h55,9h10,11h25,23h15,7h30
Bucharest,-,18h00,-,44h16,45h00,-,7h00,22h45,-,24h26,40h25,49h00,50h55,40h45,39h45,44h35,28h30,29h05,37h05,33h00,21h15,15h00,-,-,44h30,44h00,44h10,39h20,46h50,-,7h50,-,39h40,-,48h26,28h35,-,72h15,-,-,20h50,27h05,-,64h40,-,-,38h05,41h20,-,-
Budapest,-,2h50,-,23h40,21h45,-,14h31,4h05,-,5h56,21h50,28h05,33h55,21h05,20h45,21h31,8h10,10h35,15h55,14h30,-,-,-,-,10h00,19h00,23h15,19h45,19h20,-,15h30,-,20h55,-,31h00,11h15,50h05,46h20,15h00,6h00,2h10,6h00,31h40,39h25,56h30,32h00,18h50,18h50,43h40,32h25
