,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Amsterdam,2.0,-,4.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,-,2.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,-,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0
Antwerp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Athens,4.0,-,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,-,3.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,-,3.0,2.0,4.0,3.0,3.0,3.0,6.0,4.0,2.0,3.0,5.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0
Barcelona,2.0,-,3.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,4.0,-,3.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,-,2.0,1.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0
Belgrade,2.0,-,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,-,2.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,4.0,2.0,-,1.0,2.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0
Berlin,2.0,-,3.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,-,1.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,-,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0
Bratislava,4.0,-,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,-,5.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,3.0,4.0,5.0,5.0,5.0,-,4.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,2.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0
Brussels,1.0,-,3.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,-,2.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,-,1.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0
Bucharest,3.0,-,2.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,-,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,2.0,-,2.0,3.0,3.0,3.0,2.0,2.0,6.0,3.0,2.0,3.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0
Budapest,2.0,-,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,-,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,-,1.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0
