City,Tirana,Vienna,Minsk,Antwerp,Brussels,Sarajevo,Sofia,Zagreb,Larnaca,Prague,Copenhagen,Tallinn,Helsinki,Nice,Paris,Lyon,Munich,Berlin,Hamburg,Frankfurt,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Riga,Vilnius,Luxembourg City,Valletta,Chisinau,Podgorica,Amsterdam,Skopje,Oslo,Warsaw,Coimbra,Lisbon,Bucharest,Belgrade,Bratislava,Ljubljana,Barcelona,Madrid,Seville,Stockholm,Zurich,Geneva,Edinburgh,London
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vienna,-,-,-,12h23,10h58,-,-,6h49,-,3h58,18h24,-,-,-,11h46,-,5h00,-,9h27,7h13,-,2h24,-,-,12h55,12h46,-,-,11h48,-,-,-,12h31,-,-,7h36,-,-,-,-,0h59,5h40,-,-,-,-,8h53,11h50,-,-
Minsk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antwerp,-,12h23,-,-,-,-,-,-,-,11h42,14h37,-,-,-,-,-,7h26,8h23,7h30,3h45,-,14h39,-,-,-,-,-,-,-,-,-,-,-,-,-,14h13,-,-,-,-,13h04,19h24,-,-,-,-,8h22,-,-,-
Brussels,-,10h58,-,-,-,-,-,-,-,10h57,13h40,-,-,8h42,1h58,-,6h41,7h37,6h20,3h00,-,13h54,-,-,-,21h47,-,-,-,-,-,-,-,-,-,14h32,-,-,-,-,12h19,16h38,12h17,15h23,-,-,7h37,-,8h03,1h58
Sarajevo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zagreb,-,6h49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9h42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20h39,-,-,-,-,-,-,-,-,2h22,-,-,-,-,18h03,32h28,-,-
Larnaca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prague,-,3h58,-,11h42,10h57,-,-,-,-,-,15h45,-,-,-,12h20,-,5h55,4h15,7h42,7h19,-,6h43,-,-,-,-,-,-,11h59,-,-,-,11h55,-,-,9h02,-,-,-,-,4h17,10h28,-,-,-,-,10h56,13h32,-,-
Copenhagen,-,18h24,-,14h37,13h40,-,-,-,-,15h45,-,-,-,-,-,-,12h05,8h12,5h20,9h04,-,22h23,-,-,-,-,-,-,18h53,-,-,-,11h33,-,-,18h23,-,-,-,-,-,24h47,-,-,-,5h23,17h30,19h22,-,-
Tallinn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Helsinki,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nice,-,-,-,-,8h42,-,-,-,-,-,-,-,-,-,5h40,4h35,-,-,-,-,-,-,-,-,4h58,8h24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8h35,12h42,-,-,10h58,7h56,-,9h26
Paris,-,11h46,-,-,1h58,-,-,-,-,12h20,-,-,-,5h40,-,1h52,5h21,8h31,8h31,4h28,-,15h14,-,-,11h40,12h52,-,-,2h12,-,-,-,3h31,-,-,20h17,-,-,-,-,-,-,6h45,10h28,-,-,4h34,3h11,7h55,2h18
Lyon,-,-,-,-,-,-,-,-,-,-,-,-,-,4h35,1h52,-,7h52,10h18,10h26,6h04,-,-,-,-,7h05,-,-,-,5h41,-,-,-,6h19,-,-,20h15,-,-,-,-,-,-,4h59,8h05,-,-,7h58,1h56,-,5h22
