city,country,latitude,longitude
Amsterdam,Netherlands,52,5
Antwerp,Belgium,51,13
Athens,Greece,38,24
Barcelona,Spain,41,2
Belgrade,Serbia,45,20
Berlin,Germany,53,13
Bratislava,Slovakia,48,17
Brussels,Belgium,51,4
Bucharest,Romania,44,26
Budapest,Hungary,47,19
Chisinau,Moldova,47,29
Coimbra,Portugal,40,-8
Copenhagen,Denmark,56,13
Dublin,Ireland,53,-6
Edinburgh,United Kingdom,56,-3
Frankfurt,Germany,50,9
Geneva,Switzerland,46,6
Hamburg,Germany,54,10
Helsinki,Finland,60,25
Larnaca,Cyprus,35,34
Lisbon,Portugal,39,-9
Ljubljana,Slovenia,46,15
London,United Kingdom,51,-1
Luxembourg City,Luxembourg,50,6
Lyon,France,46,5
Madrid,Spain,40,-4
Milan,Italy,45,9
Minsk,Belarus,54,28
Munich,Germany,48,12
Nice,France,44,7
Oslo,Norway,60,11
Paris,France,49,2
Podgorica,Montenegro,42,19
Prague,Czech Republic,50,14
Reykjavik,Iceland,64,-21
Riga,Latvia,57,24
Rome,Italy,42,12
Sarajevo,Bosnia and Herzegovina,44,18
Seville,Spain,37,-6
Skopje,North Macedonia,42,21
Sofia,Bulgaria,43,23
Stockholm,Sweden,59,18
Tallinn,Estonia,59,25
Tirana,Albania,41,20
Valletta,Malta,36,14
Vienna,Austria,48,16
Vilnius,Lithuania,55,25
Warsaw,Poland,52,21
Zagreb,Croatia,46,16
Zurich,Switzerland,47,8
